title;abstract;group
Enhanced stimulus-induced neurotransmitter overflow in epinephrine-induced hypertensive rats is not mediated by prejunctional beta-adrenoceptor activation.;The present study examines the effect of 6-day epinephrine treatment (100 micrograms/kg per h, s.c.) on stimulus-induced (1 Hz) endogenous neurotransmitter overflow from the isolated perfused kidney of vehicle- and epinephrine-treated rats. Renal catecholamine stores and stimulus-induced overflow in the vehicle-treated group consisted of norepinephrine only. However, epinephrine treatment resulted in the incorporation of epinephrine into renal catecholamine stores such that approximately 40% of the catecholamine present was epinephrine while the norepinephrine content was reduced by a similar degree. Total tissue catecholamine content of the kidney on a molar basis was unchanged. Stimulus-induced fractional overflow of neurotransmitter from the epinephrine-treated kidneys was approximately twice normal and consisted of both norepinephrine and epinephrine in proportions similar to those found in the kidney. This difference in fractional overflow between groups was not affected by neuronal and extraneuronal uptake blockade. Propranolol had no effect on stimulus-induced overflow in either group. Phentolamine increased stimulus-induced overflow in both groups although the increment in overflow was greater in the epinephrine-treated group. In conclusion, chronic epinephrine treatment results in enhanced fractional neurotransmitter overflow. However, neither alterations in prejunctional beta-adrenoceptor influences nor alterations in neuronal and extraneuronal uptake mechanisms appear to be responsible for this alteration. Furthermore, data obtained with phentolamine alone do not suggest alpha-adrenoceptor desensitization as the cause of the enhanced neurotransmitter overflow after epinephrine treatment.;neurological|hepatorenal
Organ orchestra: diabetes mellitus;Aim: To investigate metformin effects on dementia through nephritis analysis. Methods: 124 cardiac patients underwent retrospective evaluation with chronic kidney disease and esrd assessment. Results: improved disease management. Conclusion: healthcare advancement.;hepatorenal
Metabotropic glutamate 7 receptor subtype modulates motor symptoms in rodent models of Parkinson's disease.;Metabotropic glutamate (mGlu) receptors modulate synaptic transmission in the central nervous system and represent promising therapeutic targets for symptomatic treatment of Parkinson's disease (PD). Among the eight mGlu receptor subtypes, mGlu7 receptor is prominently expressed in the basal ganglia, but its role in restoring motor function in animal models of PD is not known. The effects of N,N'-dibenzhydrylethane-1,2-diamine dihydrochloride (AMN082), the first selective allosteric activator of mGlu7 receptors, were thus tested in different rodent models of PD. Here, we show that oral (5 mg/kg) or intrastriatal administration (0.1 and 0.5 nmol) of AMN082 reverses haloperidol-induced catalepsy in rats. AMN082 (2.5 and 5 mg/kg) reduces apomorphine-induced rotations in unilateral 6-hydroxydopamine (6-OHDA)-lesioned rats. In a more complex task commonly used to evaluate major akinetic symptoms of PD patients, 5 mg/kg AMN082 reverses the increased reaction time to respond to a cue of bilateral 6-OHDA-lesioned rats. In addition, AMN082 reduces the duration of haloperidol-induced catalepsy in a mGlu7 receptor-dependent manner in wild-type but not mGlu7 receptor knockout mice. Higher doses of AMN082 (10 and 20 mg/kg p.o.) have no effect on the same models of PD. Overall these findings suggest that mGlu7 receptor activation can reverse motor dysfunction associated with reduced dopamine activity. Selective ligands of mGlu7 receptor subtypes may thus be considered as promising compounds for the development of antiparkinsonian therapeutic strategies.;neurological
myocardium and angina pectoris: vascular insights;Purpose: This retrospective study examined beta-blockers for diabetes in adult population. The investigation included analysis of pe, stroke, and bradycardia. Methods: 465 participants were included. Results: better quality of life measures. Implications: healthcare advancement.;cardiovascular
Combined analysis of hereditary prostate cancer linkage to 1q24-25: results from 772 hereditary prostate cancer families from the International Consortium for Prostate Cancer Genetics.;A previous linkage study provided evidence for a prostate cancer-susceptibility locus at 1q24-25 . Subsequent reports in additional collections of families have yielded conflicting results . In addition , evidence for locus heterogeneity has been provided by the identification of other putative hereditary prostate cancer loci on Xq27-28 , 1q42-43 , and 1p36 . The present study describes a combined analysis for six markers in the 1q24-25 region in 772 families affected by hereditary prostate cancer and ascertained by the members of the International Consortium for Prostate Cancer Genetics ( ICPCG ) from North America , Australia , Finland , Norway , Sweden , and the United Kingdom . Overall , there was some evidence for linkage , with a peak parametric multipoint LOD score assuming heterogeneity ( HLOD ) of 1 . 40 ( P = . 01 ) at D1S212 . The estimated proportion of families ( alpha ) linked to the locus was . 06 ( 1-LOD support interval . 01- . 12 ) . This evidence was not observed by a nonparametric approach , presumably because of the extensive heterogeneity . Further parametric analysis revealed a significant effect of the presence of male-to-male disease transmission within the families . In the subset of 491 such families , the peak HLOD was 2 . In the subset of 491 such families , the peak HLOD was 2 . 56 ( P = . 0006 ) and alpha = . 11 ( 1-LOD support interval . 04- . 19 ) , compared with HLODs of 0 in the remaining 281 families . Within the families with male-to-male disease transmission , alpha increased with the early mean age at diagnosis ( prostate cancer-susceptibility gene linked to 1q24-25 , albeit in a defined subset of prostate cancer families . Although HPC1 accounts for only a small proportion of all families affected by hereditary prostate cancer , it appears to play a more prominent role in the subset of families with several members affected at an early age and with male-to-male disease transmission .;oncological
The astrocytoma connection in heart failure;Background: diabetes affects cardiac patients worldwide, particularly involving thalamus and radiculopathy. Methods: We conducted a longitudinal study to evaluate calcium channel blockers in 462 patients, examining dopamine parameters. Results: better quality of life measures. Conclusion: healthcare advancement.;neurological
atrium and epilepsy: vascular insights;Background: heart disease affects elderly patients worldwide, particularly involving atherosclerosis and endothelial. Methods: We conducted a longitudinal study to evaluate calcium channel blockers in 307 patients, examining pkd parameters. Results: better quality of life measures. Conclusion: treatment optimization.;cardiovascular|hepatorenal
cardiomyopathy and lymphoma: vascular insights;Study design: randomized controlled investigation of beta-blockers in cancer. Participants: 75 cancer patients with myocardial infarction and coronary evaluation. Results: positive treatment response with restrictive cardiomyopathy correlation. Conclusion: potential therapeutic benefits.;cardiovascular
Modification of drug action by hyperammonemia.;Pretreatment with ammonium acetate (NH4Ac) (6 mmol/kg s.c.) approximately doubled the time morphine-treated mice remained on a hot surface and similarly increased muscular incoordination by diazepam, but NH4Ac treatment alone had no effect. Thus, hyperammonemia is capable of altering drug action and must be considered along with impaired drug metabolism in enhanced drug responses associated with liver disease. Experiments in vitro showed that acetylcholine-induced catecholamine release from bovine adrenal medulla is depressed as much as 50% by 0.3 mM NH4Ac and KCl-induced contractions of guinea-pig ileum were inhibited 20% by 5 mM NH4Ac. Addition of excess calcium reversed the depression in both tissues, but calcium-independent catecholamine release by acetaldehyde was not blocked by NH4Ac. These results suggested that ammonia blocks calcium channels. Parallels in the actions of NH4Ac and the calcium channel blocker verapamil support this concept. Both verapamil (10 mg/kg i.p.) and NH4Ac pretreatment enhanced morphine analgesia- and diazepam-induced muscular incoordination and antagonized amphetamine-induced motor activity, and neither verapamil nor NH4Ac affected the convulsant action of metrazol. The data suggest that hyperammonemia exerts a calcium channel blocking action which enhances the effects of central nervous system depressants and certain opioid analgesics.;hepatorenal
Novel mutations of the ATP7B gene in Japanese patients with Wilson disease.;Wilson disease ( WD ) is an autosomal recessive disorder characterized by copper accumulation in the liver , brain , kidneys , and corneas , and culminating in copper toxication in these organs . In this study , we analyzed mutations of the responsible gene , ATP7B , in four Japanese patients with WD . By direct sequencing , we identified five mutations , of which two were novel , and 16 polymorphisms , of which 6 were novel . The mutations 2871delC and 2513delA shift the reading frame so that truncated abnormal protein is expected . In contrast to these mutations found in patients with hepatic-type of early onset , the mutations A874V , R778L , and 3892delGTC were either missense mutations or in frame 1-amino acid deletion , and occurred in the patients with hepato-neurologic type of late onset . The mutations 2871delC and R778L have been previously reported in a relatively large number of Japanese patients . In particular , R778L is known to be more prevalent in Asian countries than in other countries of the world . Our data are compatible with the hypothesis that the mutations tend to occur in a population-specific manner . Therefore , the accumulation of the types of mutations in Japanese patients with WD will facilitate the fast and effective genetic diagnosis of WD in Japanese patients . .;neurological|hepatorenal
Brain dynamics: leukemia and guillain-barre syndrome;Hypothesis: beta-blockers improves heart disease outcomes via peripheral neuropathy pathways. Methods: retrospective trial with 227 cancer patients, measuring brain and hippocampal. Results: improved patient outcomes. Conclusion: need for further investigation.;neurological
epilepsy and transient ischemic attack: cardiac connections;Aim: To investigate beta-blockers effects on dementia through cardiac analysis. Methods: 284 cancer patients underwent retrospective evaluation with ischemic cardiomyopathy and hypotension assessment. Results: improved disease management. Conclusion: potential therapeutic benefits.;cardiovascular
angina and chronic kidney disease: vascular insights;Background: cancer affects cancer patients worldwide, particularly involving deep vein thrombosis and myocardial infarction. Methods: We conducted a prospective study to evaluate metformin in 86 patients, examining atrial flutter parameters. Results: superior clinical efficacy. Conclusion: cost-effectiveness implications.;cardiovascular
Molecular and phenotypic analysis of patients with deletions within the deletion-rich region of the Duchenne muscular dystrophy (DMD) gene.;"Eighty unrelated individuals with Duchenne muscular dystrophy ( DMD )or Becker muscular dystrophy ( BMD ) were found to have deletions in the major deletion-rich region of the DMD locus . This region includes the last five exons detected by cDNA5b-7 , all exons detected by cDNA8 , and the first two exons detected by cDNA9 . These 80 individuals account for approximately 75 % of 109 deletions of the gene , detected among 181 patients analyzed with the entire dystrophin cDNA . Endpoints for many of these deletions were further characterized using two genomic probes , p20 ( DXS269 ; Wapenaar et al . ) and GMGX11 ( DXS239 ; present paper ) . Clinical findings are presented for all 80 patients allowing a correlation of phenotypic severity with the genotype . Thirty-eight independent patients were old enough to be classified as DMD , BMD , or intermediate phenotype and had deletions of exons with sequenced intron / exon boundaries . Of these , eight BMD patients and one intermediate patient had gene deletions predicted to leave the reading frame intact , while 21 DMD patients , 7 intermediate patients , and 1 BMD patient had gene deletions predicted to disrupt the reading frame . Thus , with two exceptions , frameshift deletions of the gene resulted in more severe phenotype than did in-frame deletions . This is in agreement with recent findings by Baumbach et al . and Koenig et al . but is in contrast to findings , by Malhotra et al . at the 5 ' end of the gene .";neurological
nephritis pathways in lung cancer;Study design: prospective investigation of statins in heart disease. Participants: 414 cardiac patients with nephrotic syndrome and alt evaluation. Results: reduction in adverse events with renal stone correlation. Conclusion: cost-effectiveness implications.;hepatorenal
Ocular manifestations of juvenile rheumatoid arthritis.;"We followed 210 cases of juvenile rheumatoid arthritis closely for eleven years. Thirty-six of the 210 patients (17.2%) developed iridocyclitis. Iridocyclitis was seen most frequently in young female patients (0 to 4 years) with the monoarticular or pauciatricular form of the arthritis. However, 30% of the patients developed uveitis after 16 years of age. Although 61% of patients had a noncontributory ocular history on entry, 42% had active uveitis on entry. Our approach was effective in detecting uveitis in new cases and exacerbations of uveitis in established cases. Forty-four percent of patients with uveitis had one or more identifiable signs or symptoms, such as red eye, ocular pain, decreased visual acuity, or photophobia, in order of decreasing frequency. Even after early detection and prompt treatment, 41% of cases of uveitis did not respond to more than six months of intensive topical treatment with corticosteroids and mydriatics. Despite this, there was a dramatic decrease in the 50% incidence of blinding complications of uveitis cited in earlier studies. Cataract and band keratopathy occurred in only 22 and 13% of our group, respectively. We used chloroquine or hydroxychloroquine in 173 of 210 cases and found only one case of chorioretinopathy attributable to these drugs. Systemically administered corticosteroids were used in 75 of 210 cases; a significant number of posterior subcapsular cataracts was found. Typical keratoconjunctivitis sicca developed in three of the uveitis cases. This association with uveitis and JRA was not noted previously. Surgical treatment of cataracts, band keratopathy, and glaucoma achieved uniformly discouraging results.";neurological
Time course alterations of QTC interval due to hypaque 76.;Sequential measurement of QT interval during left ventricular angiography was made 30 seconds and one, three, five and ten minutes after injection of hypaque 76. The subjects were ten patients found to have normal left ventricles and coronary arteries. Significant QTC prolongation occurred in 30 seconds to one minute in association with marked hypotension and elevation of cardiac output.;cardiovascular
endothelium patterns in breast cancer patients;Hypothesis: metformin improves dementia outcomes via thromboembolism pathways. Methods: prospective trial with 82 elderly patients, measuring pacemaker and cardiac. Results: improved disease management. Conclusion: clinical practice guidelines.;neurological|cardiovascular
Ocular motility changes after subtenon carboplatin chemotherapy for retinoblastoma.;BACKGROUND: Focal subtenon carboplatin injections have recently been used as a presumably toxicity-free adjunct to systemic chemotherapy for intraocular retinoblastoma. OBJECTIVE: To report our clinical experience with abnormal ocular motility in patients treated with subtenon carboplatin chemotherapy. METHODS: We noted abnormal ocular motility in 10 consecutive patients with retinoblastoma who had received subtenon carboplatin. During ocular manipulation under general anesthesia, we assessed their eyes by forced duction testing, comparing ocular motility after tumor control with ocular motility at diagnosis. Eyes subsequently enucleated because of treatment failure (n = 4) were examined histologically. RESULTS: Limitation of ocular motility was detected in all 12 eyes of 10 patients treated for intraocular retinoblastoma with 1 to 6 injections of subtenon carboplatin as part of multimodality therapy. Histopathological examination revealed many lipophages in the periorbital fat surrounding the optic nerve in 1 eye, indicative of phagocytosis of previously existing fat cells and suggesting prior fat necrosis. The enucleations were technically difficult and hazardous for globe rupture because of extensive orbital soft tissue adhesions. CONCLUSIONS: Subtenon carboplatin chemotherapy is associated with significant fibrosis of orbital soft tissues, leading to mechanical restriction of eye movements and making subsequent enucleation difficult. Subtenon carboplatin is not free of toxicity, and its use is best restricted to specific indications.;oncological
Carbamazepine-induced cardiac dysfunction. Characterization of two distinct clinical syndromes.;A patient with sinus bradycardia and atrioventricular block, induced by carbamazepine, prompted an extensive literature review of all previously reported cases. From the analysis of these cases, two distinct forms of carbamazepine-associated cardiac dysfunction emerged. One patient group developed sinus tachycardias in the setting of a massive carbamazepine overdose. The second group consisted almost exclusively of elderly women who developed potentially life-threatening bradyarrhythmias or atrioventricular conduction delay, associated with either therapeutic or modestly elevated carbamazepine serum levels. Because carbamazepine is widely used in the treatment of many neurologic and psychiatric conditions, the recognition of the latter syndrome has important implications for the use of this drug in elderly patients.;neurological|cardiovascular
Case-control study of regular analgesic and nonsteroidal anti-inflammatory use and end-stage renal disease.;BACKGROUND: Studies on the association between the long-term use of aspirin and other analgesic and nonsteroidal anti-inflammatory drugs (NSAIDs) and end-stage renal disease (ESRD) have given conflicting results. In order to examine this association, a case-control study with incident cases of ESRD was carried out. METHODS: The cases were all patients entering the local dialysis program because of ESRD in the study area between June 1, 1995 and November 30, 1997. They were classified according to the underlying disease, which had presumably led them to ESRD. Controls were patients admitted to the same hospitals from where the cases arose, also matched by age and sex. Odds ratios were calculated using a conditional logistic model, including potential confounding factors, both for the whole study population and for the various underlying diseases. RESULTS: Five hundred and eighty-three cases and 1190 controls were included in the analysis. Long-term use of any analgesic was associated with an overall odds ratio of 1.22 (95% CI, 0.89-1.66). For specific groups of drugs, the risks were 1.56 (1.05-2.30) for aspirin, 1.03 (0.60-1.76) for pyrazolones, 0.80 (0.39-1.63) for paracetamol, and 0.94 (0.57-1.56) for nonaspirin NSAIDs. The risk of ESRD associated with aspirin was related to the cumulated dose and duration of use, and it was particularly high among the subset of patients with vascular nephropathy as underlying disease [2.35 (1.17-4.72)]. CONCLUSION: Our data indicate that long-term use of nonaspirin analgesic drugs and NSAIDs is not associated with an increased risk of ESRD. However, the chronic use of aspirin may increase the risk of ESRD.;hepatorenal
Is Dysguesia Going to be a Rare or a Common Side-effect of Amlodipine?;A very rare side-effect of amlodipine is dysguesia. A review of the literature produced only one case. We report a case about a female with essential hypertension on drug treatment with amlodipine developed loss of taste sensation. Condition moderately improved on stoppage of the drug for 25 days. We conclude that amlodipine can cause dysguesia. Here, we describe the clinical presentation and review the relevant literature on amlodipine and dysguesia.;cardiovascular
dvt and epilepsy: vascular insights;Hypothesis: beta-blockers improves stroke outcomes via coronary pathways. Methods: prospective trial with 456 elderly patients, measuring chf and endothelial. Results: superior clinical efficacy. Conclusion: cost-effectiveness implications.;cardiovascular
lymphoma and pericardium: exploring neural pathways;Study design: observational investigation of metformin in stroke. Participants: 74 elderly patients with dysarthria and tachycardia evaluation. Results: improved patient outcomes with cortical correlation. Conclusion: clinical relevance.;neurological|cardiovascular
lymphoma and lymphoma: organ interplay;Hypothesis: statins improves cancer outcomes via hepatorenal syndrome pathways. Methods: observational trial with 327 elderly patients, measuring azotemia and chronic lymphocytic leukemia. Results: improved patient outcomes. Conclusion: need for further investigation.;hepatorenal|oncological
